Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
South Shore,72,12,14,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,8,9
South Side Flats,73,6250,742.962987,2091,655.4448871,11,26.92582404,23,41.53311931,9,25.86503431,3,23.43074903,42,53.86093204,7,24.91987159,32,58.44655678,19,26.92582404,13,28.08914381,42,33.9705755,7,24.91987159,0,24.49489743,5,24.49489743,28,30.41381265,1394,620.0435469,456,149.0335533,4159,416.7997121
South Side Slopes,74,4573,513.7236611,1166,258.7547101,30,44.37341546,17,30,24,31.76476035,33,45.76024475,5,25.76819745,0,26.45751311,39,42.26109322,19,32.26453161,0,26.45751311,21,32.95451411,61,49.74937186,84,56.92099788,27,31.55946768,50,50.85272854,587,178.9888265,169,77.84600182,3407,382.3022365
Spring Garden,75,809,144.9724112,96,37.44329045,14,14.14213562,0,14.14213562,0,14.14213562,15,12.72792206,0,14.14213562,0,14.14213562,12,12.04159458,7,14.14213562,0,14.14213562,10,14.86606875,6,13.45362405,7,14.86606875,11,14.86606875,8,15.62049935,0,14.14213562,6,13.45362405,713,136.1249426
Spring Hill-City View,76,2291,373.0643376,569,229.5452025,98,85.35806933,61,61.61980201,102,91.30169768,68,64.7224845,20,39.61060464,6,17.91647287,16,21.3541565,18,22.11334439,23,25.3968502,8,19.20937271,29,47.16990566,9,20.61552813,17,26.15339366,17,20.90454496,77,49.8998998,0,17.32050808,1722,233.799059
Squirrel Hill North,77,11072,684.3580934,5901,522.8584895,194,86.09878048,59,54.59853478,111,68.60757976,20,32.63433774,145,71.54019849,108,59.76621119,131,60.20797289,72,56.82429058,83,59.29586832,70,45.09988914,22,34.78505426,82,41.0487515,61,41.6533312,58,37.20215048,3916,375.7352792,769,151.9177409,5171,388.790432
Squirrel Hill South,78,15510,866.322111,4541,529.0472569,334,108.7244223,205,78.25599019,186,89.48742928,129,67.46851117,192,84.43932733,126,69.05794668,145,72.15954545,99,64.76109943,103,78.61297603,91,59.3211598,72,57.6367938,74,82.61355821,119,72.83543094,167,103.1600698,610,231.3158014,1889,339.4009428,10969,655.0229004
St. Clair,79,261,93,61,36,16,18,0,10,21,18,10,14,0,10,0,10,0,10,10,17,0,10,0,10,0,10,0,10,0,10,4,6,0,10,0,10,200,75
Stanton Heights,80,4561,385.7706573,1139,230.6122286,88,44.37341546,58,42.89522118,28,25.90366769,26,33.9705755,77,57.39337941,52,54.05552701,65,35.9722115,41,33.37663854,31,31.17691454,35,45.27692569,31,26.85144316,43,39.7617907,34,27.89265136,75,52.04805472,274,122.7802916,181,64.91532947,3422,282.7808339
Strip District,81,740,91,55,44,9,14,8,13,0,10,0,10,0,10,0,10,0,10,9,13,0,10,0,10,0,10,0,10,0,10,0,10,15,15,14,14,685,82
Summer Hill,82,1127,83,194,44,12,14,37,22,9,10,0,10,29,20,0,10,6,9,0,10,13,16,0,10,15,18,23,20,0,10,5,8,40,26,5,9,933,75
